serial,thread,speedup,nthreads
398.352,398.148,1.00,1
353.570,177.482,1.99,2
433.856,268.096,1.62,3
350.998,146.103,2.40,4
434.624,181.391,2.40,5
385.660,123.560,3.12,6
432.042,133.461,3.24,7
345.739,89.619,3.86,8
360.707,87.607,4.12,9
352.264,75.465,4.67,10
436.436,88.388,4.94,11
345.965,64.191,5.39,12
436.084,76.321,5.71,13
345.832,55.760,6.20,14
353.079,56.249,6.28,15
386.702,68.586,5.64,16
346.924,60.236,5.76,17
388.912,68.668,5.66,18
361.879,60.112,6.02,19
361.160,58.672,6.16,20
353.475,58.472,6.05,21
400.756,61.803,6.48,22
355.104,52.152,6.81,23
320.060,48.953,6.54,24
361.219,53.608,6.74,25
429.251,66.544,6.45,26
348.784,51.555,6.77,27
347.439,52.503,6.62,28
347.426,51.904,6.69,29
437.600,65.038,6.73,30
346.905,51.050,6.80,31
361.302,54.442,6.64,32
438.236,437.187,1.00,1
347.840,176.270,1.97,2
436.683,268.062,1.63,3
348.257,145.252,2.40,4
436.390,181.042,2.41,5
337.978,107.833,3.13,6
418.684,128.312,3.26,7
351.986,91.977,3.83,8
359.909,87.327,4.12,9
351.492,75.237,4.67,10
437.324,89.219,4.90,11
360.855,65.716,5.49,12
348.251,61.345,5.68,13
436.425,69.449,6.28,14
436.331,69.362,6.29,15
360.947,58.729,6.15,16
346.407,57.165,6.06,17
347.116,57.309,6.06,18
323.445,54.647,5.92,19
347.621,57.977,6.00,20
330.632,52.514,6.30,21
361.039,59.133,6.11,22
346.929,53.471,6.49,23
360.656,54.479,6.62,24
404.581,61.143,6.62,25
356.949,54.988,6.49,26
357.647,52.663,6.79,27
421.962,62.996,6.70,28
356.998,52.122,6.85,29
420.586,61.166,6.88,30
356.686,52.857,6.75,31
355.834,55.317,6.43,32
403.705,403.009,1.00,1
349.094,176.979,1.97,2
355.010,217.606,1.63,3
349.536,145.413,2.40,4
420.831,174.374,2.41,5
358.584,113.870,3.15,6
357.440,110.257,3.24,7
319.467,82.767,3.86,8
397.208,97.393,4.08,9
345.836,75.276,4.59,10
384.100,78.505,4.89,11
351.353,64.856,5.42,12
348.508,61.319,5.68,13
319.161,51.416,6.21,14
399.122,63.254,6.31,15
401.341,63.982,6.27,16
347.804,63.210,5.50,17
436.467,73.820,5.91,18
346.306,56.028,6.18,19
429.572,67.494,6.36,20
345.388,55.268,6.25,21
432.346,70.276,6.15,22
361.156,53.109,6.80,23
335.763,50.332,6.67,24
361.198,57.415,6.29,25
352.913,56.753,6.22,26
345.781,52.558,6.58,27
430.813,66.683,6.46,28
349.071,53.780,6.49,29
361.231,52.593,6.87,30
356.849,55.847,6.39,31
358.158,52.870,6.77,32
345.688,345.184,1.00,1
360.009,182.215,1.98,2
379.544,235.197,1.61,3
360.100,149.640,2.41,4
401.778,168.055,2.39,5
364.407,115.812,3.15,6
397.808,123.140,3.23,7
346.612,89.761,3.86,8
361.063,87.811,4.11,9
347.645,74.303,4.68,10
436.511,88.686,4.92,11
345.662,64.299,5.38,12
399.721,69.885,5.72,13
345.873,55.654,6.21,14
348.506,55.974,6.23,15
346.168,57.262,6.05,16
361.056,59.439,6.07,17
410.792,68.928,5.96,18
346.212,58.844,5.88,19
346.036,55.741,6.21,20
348.617,55.905,6.24,21
348.655,54.146,6.44,22
353.341,52.394,6.74,23
345.731,53.021,6.52,24
401.467,59.938,6.70,25
379.292,60.610,6.26,26
328.335,50.808,6.46,27
391.125,60.321,6.48,28
348.290,52.588,6.62,29
430.331,65.202,6.60,30
378.729,56.034,6.76,31
347.363,52.693,6.59,32
430.339,431.807,1.00,1
325.063,164.706,1.97,2
436.747,267.495,1.63,3
348.824,144.211,2.42,4
357.567,149.952,2.38,5
321.079,102.255,3.14,6
356.757,110.207,3.24,7
319.590,84.481,3.78,8
360.920,87.790,4.11,9
347.866,74.568,4.67,10
436.529,89.051,4.90,11
348.347,64.192,5.43,12
347.497,61.287,5.67,13
346.510,55.789,6.21,14
351.063,58.099,6.04,15
437.355,71.432,6.12,16
345.394,63.833,5.41,17
361.240,62.633,5.77,18
363.173,60.562,6.00,19
346.273,57.620,6.01,20
360.809,58.618,6.16,21
360.797,55.187,6.54,22
347.504,54.165,6.42,23
345.936,52.996,6.53,24
355.892,53.591,6.64,25
346.631,52.061,6.66,26
360.815,54.918,6.57,27
361.071,54.287,6.65,28
355.716,55.041,6.46,29
347.181,51.352,6.76,30
360.636,53.257,6.77,31
327.146,48.573,6.74,32
348.953,349.322,1.00,1
437.502,219.535,1.99,2
358.782,223.354,1.61,3
360.545,149.283,2.42,4
353.203,147.747,2.39,5
360.053,114.216,3.15,6
353.524,108.806,3.25,7
431.500,111.566,3.87,8
319.723,78.416,4.08,9
430.543,93.856,4.59,10
352.905,72.706,4.85,11
354.395,65.300,5.43,12
353.983,62.111,5.70,13
352.951,56.778,6.22,14
353.728,56.498,6.26,15
360.857,58.398,6.18,16
353.420,62.648,5.64,17
354.014,58.946,6.01,18
354.343,59.592,5.95,19
368.640,60.900,6.05,20
393.926,63.028,6.25,21
320.079,49.917,6.41,22
380.897,55.495,6.86,23
354.772,53.475,6.63,24
354.828,52.814,6.72,25
369.052,56.053,6.58,26
353.657,52.478,6.74,27
352.400,51.513,6.84,28
378.874,55.229,6.86,29
354.532,51.459,6.89,30
378.158,56.230,6.73,31
354.000,52.115,6.79,32
436.630,436.461,1.00,1
373.880,189.008,1.98,2
432.154,267.176,1.62,3
360.147,150.817,2.39,4
436.434,180.987,2.41,5
360.958,114.976,3.14,6
435.967,133.420,3.27,7
353.198,90.976,3.88,8
360.546,87.838,4.10,9
353.477,76.045,4.65,10
348.792,71.689,4.87,11
434.036,79.910,5.43,12
348.569,61.350,5.68,13
343.596,55.272,6.22,14
348.204,57.779,6.03,15
345.685,57.900,5.97,16
352.864,57.802,6.10,17
403.124,73.184,5.51,18
429.326,76.091,5.64,19
346.008,58.644,5.90,20
436.673,70.862,6.16,21
345.933,54.995,6.29,22
347.904,51.889,6.70,23
346.509,51.748,6.70,24
346.674,53.417,6.49,25
361.185,56.341,6.41,26
360.826,55.566,6.49,27
345.744,51.948,6.66,28
399.319,58.488,6.83,29
327.641,48.166,6.80,30
344.256,49.830,6.91,31
437.247,65.459,6.68,32
410.141,411.862,1.00,1
348.616,176.126,1.98,2
431.053,267.122,1.61,3
347.342,144.101,2.41,4
436.397,180.842,2.41,5
353.009,112.647,3.13,6
432.506,133.400,3.24,7
348.423,90.524,3.85,8
436.408,106.210,4.11,9
347.517,74.467,4.67,10
429.899,88.927,4.83,11
346.389,64.187,5.40,12
348.617,61.324,5.68,13
348.662,55.793,6.25,14
348.573,55.648,6.26,15
319.437,56.233,5.68,16
348.239,56.639,6.15,17
347.213,62.791,5.53,18
374.097,63.199,5.92,19
347.809,57.131,6.09,20
346.040,55.869,6.19,21
335.336,51.430,6.52,22
348.095,51.522,6.76,23
348.713,53.091,6.57,24
436.072,67.260,6.48,25
345.759,52.022,6.65,26
435.449,65.255,6.67,27
398.559,58.488,6.81,28
346.074,54.689,6.33,29
435.411,64.624,6.74,30
436.208,67.043,6.51,31
355.726,56.191,6.33,32
345.785,349.004,0.99,1
436.216,218.967,1.99,2
347.799,215.420,1.61,3
356.725,149.863,2.38,4
324.758,135.848,2.39,5
429.577,137.776,3.12,6
366.237,113.490,3.23,7
430.688,111.798,3.85,8
347.111,84.860,4.09,9
430.242,93.409,4.61,10
372.345,76.978,4.84,11
346.035,64.157,5.39,12
359.554,63.470,5.66,13
426.621,67.717,6.30,14
411.448,66.848,6.15,15
360.210,58.788,6.13,16
435.202,70.553,6.17,17
348.346,58.658,5.94,18
356.979,58.279,6.13,19
325.815,48.713,6.69,20
356.892,58.918,6.06,21
360.858,56.146,6.43,22
327.058,51.923,6.30,23
357.129,56.689,6.30,24
357.729,52.923,6.76,25
349.197,54.016,6.46,26
349.689,54.180,6.45,27
319.368,49.304,6.48,28
360.549,53.960,6.68,29
355.135,52.409,6.78,30
345.558,52.117,6.63,31
355.451,51.395,6.92,32
357.354,357.538,1.00,1
399.633,201.409,1.98,2
353.112,219.941,1.61,3
366.027,154.172,2.37,4
369.056,154.036,2.40,5
415.110,133.344,3.11,6
348.889,107.108,3.26,7
361.374,92.831,3.89,8
347.928,84.879,4.10,9
350.258,74.648,4.69,10
345.950,71.491,4.84,11
325.340,60.010,5.42,12
360.634,63.106,5.71,13
348.379,55.846,6.24,14
335.591,54.003,6.21,15
386.106,67.521,5.72,16
360.820,62.587,5.77,17
346.303,58.404,5.93,18
355.680,61.521,5.78,19
361.144,60.356,5.98,20
346.429,54.703,6.33,21
355.284,55.604,6.39,22
360.923,54.725,6.60,23
355.981,56.566,6.29,24
360.731,54.297,6.64,25
355.661,52.913,6.72,26
346.395,53.409,6.49,27
430.719,64.214,6.71,28
373.779,56.615,6.60,29
348.197,54.977,6.33,30
397.905,57.952,6.87,31
324.170,50.563,6.41,32
345.821,349.964,0.99,1
432.897,218.875,1.98,2
352.407,218.688,1.61,3
