program,nthreads,time,count,pi
monte_carlo_serial,01,1.016,30000000,3.141748
monte_carlo_serial,02,1.008,30000000,3.141414
monte_carlo_serial,04,1.007,30000000,3.141546
monte_carlo_serial,06,1.007,30000000,3.141768
monte_carlo_serial,08,1.007,30000000,3.141576
monte_carlo_serial,12,1.007,30000000,3.141710
monte_carlo_serial,16,1.008,30000000,3.141590
monte_carlo_serial,24,1.006,30000000,3.141512
monte_carlo_serial,32,1.007,30000000,3.142006
monte_carlo_parallel,01,1.048,30000000,3.141706
monte_carlo_parallel,02,0.690,30000000,3.141584
monte_carlo_parallel,04,0.920,30000000,3.141684
monte_carlo_parallel,06,0.740,30000000,3.141594
monte_carlo_parallel,08,0.651,30000000,3.141568
monte_carlo_parallel,12,0.616,30000000,3.141794
monte_carlo_parallel,16,0.617,30000000,3.141784
monte_carlo_parallel,24,0.601,30000000,3.141698
monte_carlo_parallel,32,0.606,30000000,3.141672
monte_carlo_optimized,01,0.764,30000000,3.141464
monte_carlo_optimized,02,0.386,30000000,3.141466
monte_carlo_optimized,04,0.206,30000000,3.141620
monte_carlo_optimized,06,0.168,30000000,3.141774
monte_carlo_optimized,08,0.129,30000000,3.141506
monte_carlo_optimized,12,0.143,30000000,3.141684
monte_carlo_optimized,16,0.135,30000000,3.141504
monte_carlo_optimized,24,0.131,30000000,3.141578
monte_carlo_optimized,32,0.130,30000000,3.141576
