# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cpu/mem-loads,ldlat=30/P'
# Total weight : 331385
# Sort order   : local_weight,mem,sym,dso,symbol_daddr,dso_daddr,snoop,tlb,locked,blocked,local_ins_lat,local_p_stage_cyc
#
# Overhead       Samples  Local Weight  Memory access             Symbol                                 Shared Object          Data Symbol                                Data Object              Snoop         TLB access              Locked  Blocked     Local INSTR Latency
# ........  ............  ............  ........................  .....................................  .....................  .........................................  .......................  ............  ......................  ......  ..........  ...................
#
     1.44%           149  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     1.35%           140  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     1.22%           123  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     1.15%           119  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     1.03%           107  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.94%            89  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.92%            92  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.91%            86  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.84%            80  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.80%            83  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.80%            68  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.76%            70  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.73%            62  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.73%            62  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.70%            70  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.70%            72  32            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.68%            68  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.67%            57  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.65%            60  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.65%            63  34            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.63%            61  34            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x8                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.62%            53  39            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.62%            54  38            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.62%            57  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.62%            57  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x30                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.62%            57  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x38                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.61%            61  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.60%            57  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x20                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.58%            52  37            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.57%            54  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x0                               sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.57%            54  35            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.57%            57  33            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x18                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.56%            52  36            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x10                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
     0.56%            55  34            L1 or L1 hit              [.] sum                                sum_scalar             [.] psum+0x28                              sum_scalar               None          L1 or L2 hit            No       N/A        0                  
